season,round,race_name,driver,constructor,grid,position,points,status,laps
2010,1,Bahrain Grand Prix,alonso,ferrari,3,1,25.0,Finished,49
2010,1,Bahrain Grand Prix,massa,ferrari,2,2,18.0,Finished,49
2010,1,Bahrain Grand Prix,hamilton,mclaren,4,3,15.0,Finished,49
2010,1,Bahrain Grand Prix,vettel,red_bull,1,4,12.0,Finished,49
2010,1,Bahrain Grand Prix,rosberg,mercedes,5,5,10.0,Finished,49
2010,1,Bahrain Grand Prix,michael_schumacher,mercedes,7,6,8.0,Finished,49
2010,1,Bahrain Grand Prix,button,mclaren,8,7,6.0,Finished,49
2010,1,Bahrain Grand Prix,webber,red_bull,6,8,4.0,Finished,49
2010,1,Bahrain Grand Prix,liuzzi,force_india,12,9,2.0,Finished,49
2010,1,Bahrain Grand Prix,barrichello,williams,11,10,1.0,Finished,49
2010,1,Bahrain Grand Prix,kubica,renault,9,11,0.0,Finished,49
2010,1,Bahrain Grand Prix,sutil,force_india,10,12,0.0,Finished,49
2010,1,Bahrain Grand Prix,alguersuari,toro_rosso,18,13,0.0,Finished,49
2010,1,Bahrain Grand Prix,hulkenberg,williams,13,14,0.0,+1 Lap,48
2010,1,Bahrain Grand Prix,kovalainen,lotus_racing,21,15,0.0,+2 Laps,47
2010,1,Bahrain Grand Prix,buemi,toro_rosso,15,16,0.0,Electrical,46
2010,1,Bahrain Grand Prix,trulli,lotus_racing,20,17,0.0,Hydraulics,46
2010,1,Bahrain Grand Prix,rosa,sauber,14,18,0.0,Hydraulics,28
2010,1,Bahrain Grand Prix,bruno_senna,hrt,23,19,0.0,Overheating,17
2010,1,Bahrain Grand Prix,glock,virgin,19,20,0.0,Gearbox,16
2010,1,Bahrain Grand Prix,petrov,renault,17,21,0.0,Suspension,13
2010,1,Bahrain Grand Prix,kobayashi,sauber,16,22,0.0,Hydraulics,11
2010,1,Bahrain Grand Prix,grassi,virgin,22,23,0.0,Hydraulics,2
2010,1,Bahrain Grand Prix,chandhok,hrt,24,24,0.0,Accident,1
2010,2,Australian Grand Prix,button,mclaren,4,1,25.0,Finished,58
2010,2,Australian Grand Prix,kubica,renault,9,2,18.0,Finished,58
2010,2,Australian Grand Prix,massa,ferrari,5,3,15.0,Finished,58
2010,2,Australian Grand Prix,alonso,ferrari,3,4,12.0,Finished,58
2010,2,Australian Grand Prix,rosberg,mercedes,6,5,10.0,Finished,58
2010,2,Australian Grand Prix,hamilton,mclaren,11,6,8.0,Finished,58
2010,2,Australian Grand Prix,liuzzi,force_india,13,7,6.0,Finished,58
2010,2,Australian Grand Prix,barrichello,williams,8,8,4.0,Finished,58
2010,2,Australian Grand Prix,webber,red_bull,2,9,2.0,Finished,58
2010,2,Australian Grand Prix,michael_schumacher,mercedes,7,10,1.0,Finished,58
2010,2,Australian Grand Prix,alguersuari,toro_rosso,17,11,0.0,Finished,58
2010,2,Australian Grand Prix,rosa,sauber,14,12,0.0,Finished,58
2010,2,Australian Grand Prix,kovalainen,lotus_racing,19,13,0.0,+2 Laps,56
2010,2,Australian Grand Prix,chandhok,hrt,22,14,0.0,+5 Laps,53
2010,2,Australian Grand Prix,glock,virgin,23,15,0.0,Suspension,41
2010,2,Australian Grand Prix,grassi,virgin,24,16,0.0,Hydraulics,26
2010,2,Australian Grand Prix,vettel,red_bull,1,17,0.0,Wheel,25
2010,2,Australian Grand Prix,sutil,force_india,10,18,0.0,Engine,9
2010,2,Australian Grand Prix,petrov,renault,18,19,0.0,Spun off,9
2010,2,Australian Grand Prix,bruno_senna,hrt,21,20,0.0,Hydraulics,4
2010,2,Australian Grand Prix,buemi,toro_rosso,12,21,0.0,Collision,0
2010,2,Australian Grand Prix,hulkenberg,williams,15,22,0.0,Collision,0
2010,2,Australian Grand Prix,kobayashi,sauber,16,23,0.0,Collision,0
2010,2,Australian Grand Prix,trulli,lotus_racing,20,24,0.0,Hydraulics,0
2010,3,Malaysian Grand Prix,vettel,red_bull,3,1,25.0,Finished,56
2010,3,Malaysian Grand Prix,webber,red_bull,1,2,18.0,Finished,56
2010,3,Malaysian Grand Prix,rosberg,mercedes,2,3,15.0,Finished,56
2010,3,Malaysian Grand Prix,kubica,renault,6,4,12.0,Finished,56
2010,3,Malaysian Grand Prix,sutil,force_india,4,5,10.0,Finished,56
2010,3,Malaysian Grand Prix,hamilton,mclaren,20,6,8.0,Finished,56
2010,3,Malaysian Grand Prix,massa,ferrari,21,7,6.0,Finished,56
2010,3,Malaysian Grand Prix,button,mclaren,17,8,4.0,Finished,56
2010,3,Malaysian Grand Prix,alguersuari,toro_rosso,14,9,2.0,Finished,56
2010,3,Malaysian Grand Prix,hulkenberg,williams,5,10,1.0,Finished,56
2010,3,Malaysian Grand Prix,buemi,toro_rosso,13,11,0.0,Finished,56
2010,3,Malaysian Grand Prix,barrichello,williams,7,12,0.0,+1 Lap,55
2010,3,Malaysian Grand Prix,alonso,ferrari,19,13,0.0,Engine,54
2010,3,Malaysian Grand Prix,grassi,virgin,24,14,0.0,+3 Laps,53
2010,3,Malaysian Grand Prix,chandhok,hrt,22,15,0.0,+3 Laps,53
2010,3,Malaysian Grand Prix,bruno_senna,hrt,23,16,0.0,+4 Laps,52
